Source,Target,Type,Label,Weight
ART_46,AUT_Божьева,Directed,cites,1
ART_46,AUT_Евдокимова,Directed,cites,1
ART_47,AUT_Ван,Directed,cites,1
ART_47,AUT_Дунаева,Directed,cites,1
ART_47,AUT_Богомолов,Directed,cites,1
ART_47,AUT_Лебедева,Directed,cites,1
ART_47,AUT_Лапошина,Directed,cites,1
ART_47,AUT_Сысоев,Directed,cites,1
ART_47,AUT_Ивкина,Directed,cites,1
ART_47,AUT_Биккулова,Directed,cites,1
ART_48,AUT_Круглова,Directed,cites,1
ART_48,AUT_Ивкина,Directed,cites,1
ART_48,AUT_Биккулова,Directed,cites,1
ART_48,AUT_Бабаян,Directed,cites,1
ART_48,AUT_Щукин,Directed,cites,1
ART_48,AUT_Кадеева,Directed,cites,1
ART_48,AUT_Омарова,Directed,cites,1
ART_48,AUT_Гайдаш,Directed,cites,1
ART_48,AUT_Романюта,Directed,cites,1
ART_48,AUT_Сырицына,Directed,cites,1
ART_48,AUT_Азимов,Directed,cites,1
ART_50,AUT_Моргун,Directed,cites,1
ART_50,AUT_Ткачева,Directed,cites,1
ART_50,AUT_Подгорный,Directed,cites,1
ART_50,AUT_Касумова,Directed,cites,1
ART_50,AUT_Магомедова,Directed,cites,1
ART_50,AUT_Кайси,Directed,cites,1
ART_50,AUT_Лисовенко,Directed,cites,1
ART_50,AUT_Ковтун,Directed,cites,1
ART_50,AUT_Эхаева,Directed,cites,1
ART_50,AUT_Архангельская,Directed,cites,1
ART_50,AUT_Азимов,Directed,cites,1
ART_50,AUT_Леонтович,Directed,cites,1
ART_50,AUT_Сидорова,Directed,cites,1
ART_50,AUT_Позднякова,Directed,cites,1
ART_50,AUT_Казикин,Directed,cites,1
ART_50,AUT_Ромашина,Directed,cites,1
ART_50,AUT_Яковлева,Directed,cites,1
ART_50,AUT_Антропова,Directed,cites,1
ART_50,AUT_Игнатьева,Directed,cites,1
ART_50,AUT_Лешер,Directed,cites,1
ART_50,AUT_Давыдова,Directed,cites,1
ART_50,AUT_Щукин,Directed,cites,1
ART_50,AUT_Кузнецова,Directed,cites,1
ART_50,AUT_Джегистаева,Directed,cites,1
ART_50,AUT_Толкачева,Directed,cites,1
ART_50,AUT_Гладков,Directed,cites,1
ART_50,AUT_Алексюк,Directed,cites,1
ART_50,AUT_Михайлова,Directed,cites,1
ART_50,AUT_Аксенова,Directed,cites,1
ART_50,AUT_Авраменко,Directed,cites,1
ART_50,AUT_Патрушева,Directed,cites,1
ART_51,AUT_Ван,Directed,cites,1
ART_51,AUT_Дунаева,Directed,cites,1
ART_51,AUT_Богомолов,Directed,cites,1
ART_51,AUT_Лебедева,Directed,cites,1
ART_51,AUT_Лапошина,Directed,cites,1
ART_51,AUT_Сысоев,Directed,cites,1
ART_51,AUT_Ивкина,Directed,cites,1
ART_51,AUT_Биккулова,Directed,cites,1
ART_52,AUT_Панюкова,Directed,cites,1
ART_52,AUT_Куликова,Directed,cites,1
ART_52,AUT_Гафаров,Directed,cites,1
ART_52,AUT_Кошеварова,Directed,cites,1
ART_52,AUT_Немыка,Directed,cites,1
ART_52,AUT_Китаева,Directed,cites,1
ART_52,AUT_Соменков,Directed,cites,1
ART_52,AUT_Галиева,Directed,cites,1
ART_52,AUT_Веснина,Directed,cites,1
ART_54,AUT_Шимкович,Directed,cites,1
ART_54,AUT_Певницкая,Directed,cites,1
ART_54,AUT_Галиагберова,Directed,cites,1
ART_54,AUT_Провоторова,Directed,cites,1
ART_54,AUT_Титова,Directed,cites,1
ART_54,AUT_Исмаилова,Directed,cites,1
ART_54,AUT_Махмутова,Directed,cites,1
ART_54,AUT_Копылова,Directed,cites,1
ART_54,AUT_Теплов,Directed,cites,1
ART_54,AUT_Михеева,Directed,cites,1
ART_54,AUT_Галкина,Directed,cites,1
ART_54,AUT_Матухин,Directed,cites,1
ART_54,AUT_Руженцева,Directed,cites,1
ART_54,AUT_Пирогова,Directed,cites,1
ART_54,AUT_Грачева,Directed,cites,1
ART_54,AUT_Лобеева,Directed,cites,1
ART_54,AUT_Грачёва,Directed,cites,1
ART_54,AUT_Петрова,Directed,cites,1
ART_55,AUT_Амиров,Directed,cites,1
ART_55,AUT_Коровникова,Directed,cites,1
ART_55,AUT_Гусева,Directed,cites,1
ART_55,AUT_Козловцева,Directed,cites,1
ART_55,AUT_Околелов,Directed,cites,1
ART_55,AUT_Ельникова,Directed,cites,1
ART_55,AUT_Билалова,Directed,cites,1
ART_55,AUT_Лутовинова,Directed,cites,1
ART_56,AUT_Панюкова,Directed,cites,1
ART_56,AUT_Куликова,Directed,cites,1
ART_56,AUT_Гафаров,Directed,cites,1
ART_56,AUT_Кошеварова,Directed,cites,1
ART_56,AUT_Немыка,Directed,cites,1
ART_56,AUT_Китаева,Directed,cites,1
ART_56,AUT_Соменков,Directed,cites,1
ART_56,AUT_Галиева,Directed,cites,1
ART_56,AUT_Веснина,Directed,cites,1
ART_57,AUT_Исламов,Directed,cites,1
ART_57,AUT_Толстель,Directed,cites,1
ART_58,AUT_Сорокин,Directed,cites,1
ART_58,AUT_Адельшина,Directed,cites,1
ART_58,AUT_Хмаренко,Directed,cites,1
ART_58,AUT_Коренев,Directed,cites,1
ART_58,AUT_Сысоев,Directed,cites,1
ART_58,AUT_Ершова,Directed,cites,1
ART_58,AUT_Филатов,Directed,cites,1
ART_58,AUT_Ляшенко,Directed,cites,1
ART_59,AUT_Моргун,Directed,cites,1
